pair,rho_point,rho_ci_low,rho_ci_high
bargaining_vs_debate,0.14285714285714288,-0.2571428571428572,0.7714285714285715
bargaining_vs_village,0.7714285714285715,0.3142857142857143,1.0
bargaining_vs_sales,0.2,-0.2571428571428572,0.6
bargaining_vs_committee,0.6,0.3142857142857143,0.942857142857143
debate_vs_village,0.48571428571428577,-0.14285714285714288,0.8285714285714287
debate_vs_sales,-0.7714285714285715,-0.942857142857143,0.14285714285714288
debate_vs_committee,0.028571428571428574,-0.6,0.4285714285714286
village_vs_sales,-0.2571428571428572,-0.48589156307904313,0.4285714285714286
village_vs_committee,0.6571428571428573,0.08571428571428573,0.942857142857143
sales_vs_committee,0.08571428571428573,-0.11595420713048968,0.7714285714285715
